index,image_path,location,location_normalized,year,taluk_norm,locality_norm
109,F:\images\2025\Aminjikarai_Villivakkam.png,Aminjikarai_Villivakkam,aminjikarai villivakkam,2025,aminjikarai,villivakkam
110,F:\images\2014\Egmore_Egmore_(Part_I).png,Egmore_Egmore_(Part_I),egmore egmore part i,2014,egmore,egmore
111,F:\images\2020\Egmore_Egmore_(Part_I).png,Egmore_Egmore_(Part_I),egmore egmore part i,2020,egmore,egmore
112,F:\images\2021\Egmore_Egmore_(Part_I).png,Egmore_Egmore_(Part_I),egmore egmore part i,2021,egmore,egmore
113,F:\images\2022\Egmore_Egmore_(Part_I).png,Egmore_Egmore_(Part_I),egmore egmore part i,2022,egmore,egmore
114,F:\images\2024\Egmore_Egmore_(Part_I).png,Egmore_Egmore_(Part_I),egmore egmore part i,2024,egmore,egmore
115,F:\images\2014\Egmore_Egmore_(Part_II).png,Egmore_Egmore_(Part_II),egmore egmore part ii,2014,egmore,egmore
116,F:\images\2020\Egmore_Egmore_(Part_II).png,Egmore_Egmore_(Part_II),egmore egmore part ii,2020,egmore,egmore
117,F:\images\2021\Egmore_Egmore_(Part_II).png,Egmore_Egmore_(Part_II),egmore egmore part ii,2021,egmore,egmore
118,F:\images\2022\Egmore_Egmore_(Part_II).png,Egmore_Egmore_(Part_II),egmore egmore part ii,2022,egmore,egmore
119,F:\images\2024\Egmore_Egmore_(Part_II).png,Egmore_Egmore_(Part_II),egmore egmore part ii,2024,egmore,egmore
120,F:\images\2014\Egmore_Nungambakkam.png,Egmore_Nungambakkam,egmore nungambakkam,2014,egmore,nungambakkam
121,F:\images\2020\Egmore_Nungambakkam.png,Egmore_Nungambakkam,egmore nungambakkam,2020,egmore,nungambakkam
122,F:\images\2021\Egmore_Nungambakkam.png,Egmore_Nungambakkam,egmore nungambakkam,2021,egmore,nungambakkam
123,F:\images\2022\Egmore_Nungambakkam.png,Egmore_Nungambakkam,egmore nungambakkam,2022,egmore,nungambakkam
124,F:\images\2024\Egmore_Nungambakkam.png,Egmore_Nungambakkam,egmore nungambakkam,2024,egmore,nungambakkam
125,F:\images\2014\Egmore_Puliyur.png,Egmore_Puliyur,egmore puliyur,2014,egmore,puliyur
126,F:\images\2020\Egmore_Puliyur.png,Egmore_Puliyur,egmore puliyur,2020,egmore,puliyur
127,F:\images\2021\Egmore_Puliyur.png,Egmore_Puliyur,egmore puliyur,2021,egmore,puliyur
128,F:\images\2022\Egmore_Puliyur.png,Egmore_Puliyur,egmore puliyur,2022,egmore,puliyur
129,F:\images\2024\Egmore_Puliyur.png,Egmore_Puliyur,egmore puliyur,2024,egmore,puliyur
130,F:\images\2014\Guindy_Adyar_(Part_I).png,Guindy_Adyar_(Part_I),guindy adyar part i,2014,guindy,adyar
131,F:\images\2020\Guindy_Adyar_(Part_I).png,Guindy_Adyar_(Part_I),guindy adyar part i,2020,guindy,adyar
132,F:\images\2021\Guindy_Adyar_(Part_I).png,Guindy_Adyar_(Part_I),guindy adyar part i,2021,guindy,adyar
133,F:\images\2022\Guindy_Adyar_(Part_I).png,Guindy_Adyar_(Part_I),guindy adyar part i,2022,guindy,adyar
134,F:\images\2024\Guindy_Adyar_(Part_I).png,Guindy_Adyar_(Part_I),guindy adyar part i,2024,guindy,adyar
135,F:\images\2025\Guindy_Adyar_(Part_I).png,Guindy_Adyar_(Part_I),guindy adyar part i,2025,guindy,adyar
136,F:\images\2014\Guindy_Adyar_(Part_II).png,Guindy_Adyar_(Part_II),guindy adyar part ii,2014,guindy,adyar
137,F:\images\2020\Guindy_Adyar_(Part_II).png,Guindy_Adyar_(Part_II),guindy adyar part ii,2020,guindy,adyar
138,F:\images\2021\Guindy_Adyar_(Part_II).png,Guindy_Adyar_(Part_II),guindy adyar part ii,2021,guindy,adyar
139,F:\images\2022\Guindy_Adyar_(Part_II).png,Guindy_Adyar_(Part_II),guindy adyar part ii,2022,guindy,adyar
140,F:\images\2024\Guindy_Adyar_(Part_II).png,Guindy_Adyar_(Part_II),guindy adyar part ii,2024,guindy,adyar
