location,location_normalized,year,image_path
Egmore_Egmore_(Part_I),egmore egmore (part i),2022,F:\images\2022\Egmore_Egmore_(Part_I).png
Egmore_Egmore_(Part_I),egmore egmore (part i),2024,F:\images\2024\Egmore_Egmore_(Part_I).png
Egmore_Egmore_(Part_II),egmore egmore (part ii),2014,F:\images\2014\Egmore_Egmore_(Part_II).png
Egmore_Egmore_(Part_II),egmore egmore (part ii),2020,F:\images\2020\Egmore_Egmore_(Part_II).png
Egmore_Egmore_(Part_II),egmore egmore (part ii),2021,F:\images\2021\Egmore_Egmore_(Part_II).png
Egmore_Egmore_(Part_II),egmore egmore (part ii),2022,F:\images\2022\Egmore_Egmore_(Part_II).png
Egmore_Egmore_(Part_II),egmore egmore (part ii),2024,F:\images\2024\Egmore_Egmore_(Part_II).png
Egmore_Nungambakkam,egmore nungambakkam,2014,F:\images\2014\Egmore_Nungambakkam.png
Egmore_Nungambakkam,egmore nungambakkam,2020,F:\images\2020\Egmore_Nungambakkam.png
Egmore_Nungambakkam,egmore nungambakkam,2021,F:\images\2021\Egmore_Nungambakkam.png
Egmore_Nungambakkam,egmore nungambakkam,2022,F:\images\2022\Egmore_Nungambakkam.png
Egmore_Nungambakkam,egmore nungambakkam,2024,F:\images\2024\Egmore_Nungambakkam.png
Egmore_Puliyur,egmore puliyur,2014,F:\images\2014\Egmore_Puliyur.png
Egmore_Puliyur,egmore puliyur,2020,F:\images\2020\Egmore_Puliyur.png
Egmore_Puliyur,egmore puliyur,2021,F:\images\2021\Egmore_Puliyur.png
Egmore_Puliyur,egmore puliyur,2022,F:\images\2022\Egmore_Puliyur.png
Egmore_Puliyur,egmore puliyur,2024,F:\images\2024\Egmore_Puliyur.png
Guindy_Adyar_(Part_I),guindy adyar (part i),2014,F:\images\2014\Guindy_Adyar_(Part_I).png
Guindy_Adyar_(Part_I),guindy adyar (part i),2020,F:\images\2020\Guindy_Adyar_(Part_I).png
Guindy_Adyar_(Part_I),guindy adyar (part i),2021,F:\images\2021\Guindy_Adyar_(Part_I).png
Guindy_Adyar_(Part_I),guindy adyar (part i),2022,F:\images\2022\Guindy_Adyar_(Part_I).png
Guindy_Adyar_(Part_I),guindy adyar (part i),2024,F:\images\2024\Guindy_Adyar_(Part_I).png
Guindy_Adyar_(Part_I),guindy adyar (part i),2025,F:\images\2025\Guindy_Adyar_(Part_I).png
Guindy_Adyar_(Part_II),guindy adyar (part ii),2014,F:\images\2014\Guindy_Adyar_(Part_II).png
Guindy_Adyar_(Part_II),guindy adyar (part ii),2020,F:\images\2020\Guindy_Adyar_(Part_II).png
Guindy_Adyar_(Part_II),guindy adyar (part ii),2021,F:\images\2021\Guindy_Adyar_(Part_II).png
Guindy_Adyar_(Part_II),guindy adyar (part ii),2022,F:\images\2022\Guindy_Adyar_(Part_II).png
Guindy_Adyar_(Part_II),guindy adyar (part ii),2024,F:\images\2024\Guindy_Adyar_(Part_II).png
Guindy_Adyar_(Part_II),guindy adyar (part ii),2025,F:\images\2025\Guindy_Adyar_(Part_II).png
Guindy_Alandur,guindy alandur,2014,F:\images\2014\Guindy_Alandur.png
Guindy_Alandur,guindy alandur,2020,F:\images\2020\Guindy_Alandur.png
Guindy_Alandur,guindy alandur,2021,F:\images\2021\Guindy_Alandur.png
Guindy_Alandur,guindy alandur,2022,F:\images\2022\Guindy_Alandur.png
Guindy_Alandur,guindy alandur,2024,F:\images\2024\Guindy_Alandur.png
Guindy_Alandur,guindy alandur,2025,F:\images\2025\Guindy_Alandur.png
Guindy_Ekkatuthangal,guindy ekkatuthangal,2014,F:\images\2014\Guindy_Ekkatuthangal.png
Guindy_Ekkatuthangal,guindy ekkatuthangal,2020,F:\images\2020\Guindy_Ekkatuthangal.png
Guindy_Ekkatuthangal,guindy ekkatuthangal,2021,F:\images\2021\Guindy_Ekkatuthangal.png
Guindy_Ekkatuthangal,guindy ekkatuthangal,2022,F:\images\2022\Guindy_Ekkatuthangal.png
Guindy_Ekkatuthangal,guindy ekkatuthangal,2024,F:\images\2024\Guindy_Ekkatuthangal.png
Guindy_Ekkatuthangal,guindy ekkatuthangal,2025,F:\images\2025\Guindy_Ekkatuthangal.png
Guindy_Govt._Farm,guindy govt. farm,2014,F:\images\2014\Guindy_Govt._Farm.png
Guindy_Govt._Farm,guindy govt. farm,2020,F:\images\2020\Guindy_Govt._Farm.png
Guindy_Govt._Farm,guindy govt. farm,2021,F:\images\2021\Guindy_Govt._Farm.png
Guindy_Govt._Farm,guindy govt. farm,2022,F:\images\2022\Guindy_Govt._Farm.png
Guindy_Govt._Farm,guindy govt. farm,2024,F:\images\2024\Guindy_Govt._Farm.png
Guindy_Govt._Farm,guindy govt. farm,2025,F:\images\2025\Guindy_Govt._Farm.png
Guindy_Guindy_Park,guindy guindy park,2014,F:\images\2014\Guindy_Guindy_Park.png
Guindy_Guindy_Park,guindy guindy park,2020,F:\images\2020\Guindy_Guindy_Park.png
Guindy_Guindy_Park,guindy guindy park,2021,F:\images\2021\Guindy_Guindy_Park.png
Guindy_Guindy_Park,guindy guindy park,2022,F:\images\2022\Guindy_Guindy_Park.png
Guindy_Guindy_Park,guindy guindy park,2024,F:\images\2024\Guindy_Guindy_Park.png
Guindy_Guindy_Park,guindy guindy park,2025,F:\images\2025\Guindy_Guindy_Park.png
Guindy_Kottur,guindy kottur,2014,F:\images\2014\Guindy_Kottur.png
Guindy_Kottur,guindy kottur,2020,F:\images\2020\Guindy_Kottur.png
Guindy_Kottur,guindy kottur,2021,F:\images\2021\Guindy_Kottur.png
Guindy_Kottur,guindy kottur,2022,F:\images\2022\Guindy_Kottur.png
Guindy_Kottur,guindy kottur,2024,F:\images\2024\Guindy_Kottur.png
Guindy_Kottur,guindy kottur,2025,F:\images\2025\Guindy_Kottur.png
Guindy_T._Nagar,guindy t. nagar,2014,F:\images\2014\Guindy_T._Nagar.png
Guindy_T._Nagar,guindy t. nagar,2020,F:\images\2020\Guindy_T._Nagar.png
Guindy_T._Nagar,guindy t. nagar,2021,F:\images\2021\Guindy_T._Nagar.png
Guindy_T._Nagar,guindy t. nagar,2022,F:\images\2022\Guindy_T._Nagar.png
Guindy_T._Nagar,guindy t. nagar,2024,F:\images\2024\Guindy_T._Nagar.png
Guindy_T._Nagar,guindy t. nagar,2025,F:\images\2025\Guindy_T._Nagar.png
Guindy_Venkatapuram,guindy venkatapuram,2014,F:\images\2014\Guindy_Venkatapuram.png
Guindy_Venkatapuram,guindy venkatapuram,2020,F:\images\2020\Guindy_Venkatapuram.png
Guindy_Venkatapuram,guindy venkatapuram,2021,F:\images\2021\Guindy_Venkatapuram.png
Guindy_Venkatapuram,guindy venkatapuram,2022,F:\images\2022\Guindy_Venkatapuram.png
Guindy_Venkatapuram,guindy venkatapuram,2024,F:\images\2024\Guindy_Venkatapuram.png
Guindy_Venkatapuram,guindy venkatapuram,2025,F:\images\2025\Guindy_Venkatapuram.png
Kolathur_Kolathur,kolathur kolathur,2014,F:\images\2014\Kolathur_Kolathur.png
Kolathur_Kolathur,kolathur kolathur,2020,F:\images\2020\Kolathur_Kolathur.png
Kolathur_Kolathur,kolathur kolathur,2021,F:\images\2021\Kolathur_Kolathur.png
Kolathur_Kolathur,kolathur kolathur,2022,F:\images\2022\Kolathur_Kolathur.png
Kolathur_Kolathur,kolathur kolathur,2024,F:\images\2024\Kolathur_Kolathur.png
Kolathur_Peravallur,kolathur peravallur,2014,F:\images\2014\Kolathur_Peravallur.png
Kolathur_Peravallur,kolathur peravallur,2020,F:\images\2020\Kolathur_Peravallur.png
Kolathur_Peravallur,kolathur peravallur,2021,F:\images\2021\Kolathur_Peravallur.png
Kolathur_Peravallur,kolathur peravallur,2022,F:\images\2022\Kolathur_Peravallur.png
Kolathur_Peravallur,kolathur peravallur,2024,F:\images\2024\Kolathur_Peravallur.png
Kolathur_Siruvallur,kolathur siruvallur,2014,F:\images\2014\Kolathur_Siruvallur.png
Kolathur_Siruvallur,kolathur siruvallur,2020,F:\images\2020\Kolathur_Siruvallur.png
Kolathur_Siruvallur,kolathur siruvallur,2021,F:\images\2021\Kolathur_Siruvallur.png
Kolathur_Siruvallur,kolathur siruvallur,2022,F:\images\2022\Kolathur_Siruvallur.png
Kolathur_Siruvallur,kolathur siruvallur,2024,F:\images\2024\Kolathur_Siruvallur.png
Madhavaram_Chettimedu,madhavaram chettimedu,2014,F:\images\2014\Madhavaram_Chettimedu.png
Madhavaram_Chettimedu,madhavaram chettimedu,2020,F:\images\2020\Madhavaram_Chettimedu.png
Madhavaram_Chettimedu,madhavaram chettimedu,2021,F:\images\2021\Madhavaram_Chettimedu.png
Madhavaram_Chettimedu,madhavaram chettimedu,2022,F:\images\2022\Madhavaram_Chettimedu.png
Madhavaram_Chettimedu,madhavaram chettimedu,2024,F:\images\2024\Madhavaram_Chettimedu.png
Madhavaram_Chettimedu,madhavaram chettimedu,2025,F:\images\2025\Madhavaram_Chettimedu.png
Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2014,F:\images\2014\Madhavaram_Kadhirvedu.png
Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2020,F:\images\2020\Madhavaram_Kadhirvedu.png
Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2021,F:\images\2021\Madhavaram_Kadhirvedu.png
Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2022,F:\images\2022\Madhavaram_Kadhirvedu.png
Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2024,F:\images\2024\Madhavaram_Kadhirvedu.png
Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2025,F:\images\2025\Madhavaram_Kadhirvedu.png
Madhavaram_Kosapur,madhavaram kosapur,2014,F:\images\2014\Madhavaram_Kosapur.png
Madhavaram_Kosapur,madhavaram kosapur,2020,F:\images\2020\Madhavaram_Kosapur.png
Madhavaram_Kosapur,madhavaram kosapur,2021,F:\images\2021\Madhavaram_Kosapur.png
Madhavaram_Kosapur,madhavaram kosapur,2022,F:\images\2022\Madhavaram_Kosapur.png
Madhavaram_Kosapur,madhavaram kosapur,2024,F:\images\2024\Madhavaram_Kosapur.png
Madhavaram_Kosapur,madhavaram kosapur,2025,F:\images\2025\Madhavaram_Kosapur.png
Madhavaram_Madhavaram‑1,madhavaram madhavaram‑1,2014,F:\images\2014\Madhavaram_Madhavaram‑1.png
Madhavaram_Madhavaram‑1,madhavaram madhavaram‑1,2020,F:\images\2020\Madhavaram_Madhavaram‑1.png
Madhavaram_Madhavaram‑1,madhavaram madhavaram‑1,2021,F:\images\2021\Madhavaram_Madhavaram‑1.png
Madhavaram_Madhavaram‑1,madhavaram madhavaram‑1,2022,F:\images\2022\Madhavaram_Madhavaram‑1.png
Madhavaram_Madhavaram‑1,madhavaram madhavaram‑1,2024,F:\images\2024\Madhavaram_Madhavaram‑1.png
Madhavaram_Madhavaram‑1,madhavaram madhavaram‑1,2025,F:\images\2025\Madhavaram_Madhavaram‑1.png
Madhavaram_Madhavaram‑2,madhavaram madhavaram‑2,2014,F:\images\2014\Madhavaram_Madhavaram‑2.png
Madhavaram_Madhavaram‑2,madhavaram madhavaram‑2,2020,F:\images\2020\Madhavaram_Madhavaram‑2.png
Madhavaram_Madhavaram‑2,madhavaram madhavaram‑2,2021,F:\images\2021\Madhavaram_Madhavaram‑2.png
Madhavaram_Madhavaram‑2,madhavaram madhavaram‑2,2022,F:\images\2022\Madhavaram_Madhavaram‑2.png
Madhavaram_Madhavaram‑2,madhavaram madhavaram‑2,2024,F:\images\2024\Madhavaram_Madhavaram‑2.png
Madhavaram_Madhavaram‑2,madhavaram madhavaram‑2,2025,F:\images\2025\Madhavaram_Madhavaram‑2.png
Madhavaram_Manchambakkam,madhavaram manchambakkam,2014,F:\images\2014\Madhavaram_Manchambakkam.png
Madhavaram_Manchambakkam,madhavaram manchambakkam,2020,F:\images\2020\Madhavaram_Manchambakkam.png
Madhavaram_Manchambakkam,madhavaram manchambakkam,2021,F:\images\2021\Madhavaram_Manchambakkam.png
Madhavaram_Manchambakkam,madhavaram manchambakkam,2022,F:\images\2022\Madhavaram_Manchambakkam.png
Madhavaram_Manchambakkam,madhavaram manchambakkam,2024,F:\images\2024\Madhavaram_Manchambakkam.png
Madhavaram_Manchambakkam,madhavaram manchambakkam,2025,F:\images\2025\Madhavaram_Manchambakkam.png
Madhavaram_Mathur,madhavaram mathur,2014,F:\images\2014\Madhavaram_Mathur.png
Madhavaram_Mathur,madhavaram mathur,2020,F:\images\2020\Madhavaram_Mathur.png
Madhavaram_Mathur,madhavaram mathur,2021,F:\images\2021\Madhavaram_Mathur.png
Madhavaram_Mathur,madhavaram mathur,2022,F:\images\2022\Madhavaram_Mathur.png
Madhavaram_Mathur,madhavaram mathur,2024,F:\images\2024\Madhavaram_Mathur.png
Madhavaram_Mathur,madhavaram mathur,2025,F:\images\2025\Madhavaram_Mathur.png
Madhavaram_Puthagaram,madhavaram puthagaram,2014,F:\images\2014\Madhavaram_Puthagaram.png
Madhavaram_Puthagaram,madhavaram puthagaram,2020,F:\images\2020\Madhavaram_Puthagaram.png
Madhavaram_Puthagaram,madhavaram puthagaram,2021,F:\images\2021\Madhavaram_Puthagaram.png
Madhavaram_Puthagaram,madhavaram puthagaram,2022,F:\images\2022\Madhavaram_Puthagaram.png
Madhavaram_Puthagaram,madhavaram puthagaram,2024,F:\images\2024\Madhavaram_Puthagaram.png
Madhavaram_Puthagaram,madhavaram puthagaram,2025,F:\images\2025\Madhavaram_Puthagaram.png
Madhavaram_Puzhal,madhavaram puzhal,2014,F:\images\2014\Madhavaram_Puzhal.png
Madhavaram_Puzhal,madhavaram puzhal,2020,F:\images\2020\Madhavaram_Puzhal.png
Madhavaram_Puzhal,madhavaram puzhal,2021,F:\images\2021\Madhavaram_Puzhal.png
Madhavaram_Puzhal,madhavaram puzhal,2022,F:\images\2022\Madhavaram_Puzhal.png
Madhavaram_Puzhal,madhavaram puzhal,2024,F:\images\2024\Madhavaram_Puzhal.png
